"filename", "language", "Dart", "JSON", "C++", "HTML", "YAML", "Swift", "Markdown", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\src\flutterApps\Project-Mercury\lib\models\user.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_card.dart", "Dart", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -19
"c:\src\flutterApps\Project-Mercury\lib\pages\contactPage\contact_data.dart", "Dart", -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -62
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_card.dart", "Dart", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 211
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_data.dart", "Dart", -113, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -117
"c:\src\flutterApps\Project-Mercury\lib\pages\eventPage\event_page.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\cube.dart", "Dart", -127, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -15, -151
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\floor_plan.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 34
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\furniture_card.dart", "Dart", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\home_page.dart", "Dart", -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, -46
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\isometric.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 12, 253
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\room_data.dart", "Dart", -551, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7, -560
"c:\src\flutterApps\Project-Mercury\lib\pages\homePage\tip_message.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 81
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\money_page.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\src\flutterApps\Project-Mercury\lib\pages\moneyPage\transaction_card.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -1, 3
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\receipt_card.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_card.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 107
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_data.dart", "Dart", -273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -275
"c:\src\flutterApps\Project-Mercury\lib\pages\storePage\store_page.dart", "Dart", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 129
"c:\src\flutterApps\Project-Mercury\lib\resources\analytics_methods.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\src\flutterApps\Project-Mercury\lib\resources\app_state.dart", "Dart", 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 275
"c:\src\flutterApps\Project-Mercury\lib\resources\event_controller.dart", "Dart", -372, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -31, -410
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_methods.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -6, 97
"c:\src\flutterApps\Project-Mercury\lib\resources\firestore_service.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\src\flutterApps\Project-Mercury\lib\resources\time_controller.dart", "Dart", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -10
"c:\src\flutterApps\Project-Mercury\lib\resources\tutorial.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\src\flutterApps\Project-Mercury\lib\screens\navigation_screen.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\src\flutterApps\Project-Mercury\lib\screens\welcome_screen.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\src\flutterApps\Project-Mercury\lib\utils\global_variables.dart", "Dart", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -5
"c:\src\flutterApps\Project-Mercury\lib\utils\utils.dart", "Dart", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 193
"c:\src\flutterApps\Project-Mercury\pubspec.yaml", "YAML", 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, -49, -8, -94
"c:\src\flutterApps\Project-Mercury\test\widget_test.dart", "Dart", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -31
"c:\src\flutterApps\Project-Mercury\web\index.html", "HTML", 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, -18, -7, -105
"c:\src\flutterApps\Project-Mercury\web\manifest.json", "JSON", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -4, -5, -18
"c:\src\flutterApps\Project-Mercury\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.cpp", "C++", 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"c:\src\flutterApps\Project-Mercury\windows\runner\flutter_window.h", "C++", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"c:\src\flutterApps\Project-Mercury\windows\runner\main.cpp", "C++", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"c:\src\flutterApps\Project-Mercury\windows\runner\resource.h", "C++", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"c:\src\flutterApps\Project-Mercury\windows\runner\utils.cpp", "C++", 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"c:\src\flutterApps\Project-Mercury\windows\runner\utils.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.cpp", "C++", 0, 0, -183, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"c:\src\flutterApps\Project-Mercury\windows\runner\win32_window.h", "C++", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", 4831, -243, -411, -80, -40, -12, -13, -123, -90, -8, 639, -179, 4271
