"filename", "language", "Dart", "comment", "blank", "total"
"c:\src\flutterApps\Project-Mercury\lib\data\room_data.dart", "Dart", 547, -23, 0, 524
"c:\src\flutterApps\Project-Mercury\lib\data\store_data.dart", "Dart", 330, -424, 0, -94
"Total", "-", 877, -447, 0, 430
